"Time stamp","System power generated | (kW)"
"1086",-0.0162711
"1087",-0.0162711
"1088",125.771
"1089",186.314
"1090",192.216
"1091",179.055
"1092",148.069
"1093",118.949
"1094",122.659
"1095",84.3916
"1096",131.141
"1097",-0.0162711
"1098",-0.0162711
"1099",-0.0162711
"1100",-0.0162711
"1101",-0.0162711
"1102",-0.0162711
"1103",-0.0162711
"1104",-0.0162711
"1105",-0.0162711
"1106",-0.0162711
"1107",-0.0162711
"1108",-0.0162711
"1109",-0.0162711
"1110",-0.0162711
"1111",-0.0162711
"1112",123.432
"1113",205.289
"1114",211.187
"1115",207.743
"1116",203.078
"1117",196.445
"1118",188.532
"1119",173.149
"1120",137.443
"1121",-0.0162711
"1122",-0.0162711
"1123",-0.0162711
"1124",-0.0162711
"1125",-0.0162711
"1126",-0.0162711
"1127",-0.0162711
"1128",-0.0162711
"1129",-0.0162711
"1130",-0.0162711
"1131",-0.0162711
"1132",-0.0162711
"1133",-0.0162711
"1134",-0.0162711
"1135",-0.0162711
"1136",127.437
"1137",207.307
"1138",161.689
"1139",162.434
"1140",159.711
"1141",107.983
"1142",58.5411
"1143",40.5064
"1144",125.098
"1145",-0.0162711
"1146",-0.0162711
"1147",-0.0162711
"1148",-0.0162711
"1149",-0.0162711
"1150",-0.0162711
"1151",-0.0162711
"1152",-0.0162711
"1153",-0.0162711
"1154",-0.0162711
"1155",-0.0162711
"1156",-0.0162711
"1157",-0.0162711
"1158",-0.0162711
"1159",-0.0162711
"1160",214.375
"1161",184.627
"1162",104.653
"1163",137.233
"1164",155.612
"1165",150.183
"1166",120.623
"1167",66.8946
"1168",3.07544
"1169",-0.0162711
"1170",-0.0162711
"1171",-0.0162711
"1172",-0.0162711
"1173",-0.0162711
"1174",-0.0162711
"1175",-0.0162711
"1176",-0.0162711
"1177",-0.0162711
"1178",-0.0162711
"1179",-0.0162711
"1180",-0.0162711
"1181",-0.0162711
"1182",-0.0162711
"1183",-0.0162711
"1184",14.6956
"1185",52.3927
"1186",133.89
"1187",131.137
"1188",139.197
"1189",108.573
"1190",130.49
"1191",104.233
"1192",14.7799
"1193",-0.0162711
"1194",-0.0162711
"1195",-0.0162711
"1196",-0.0162711
"1197",-0.0162711
"1198",-0.0162711
"1199",-0.0162711
"1200",-0.0162711
"1201",-0.0162711
"1202",-0.0162711
"1203",-0.0162711
"1204",-0.0162711
"1205",-0.0162711
"1206",-0.0162711
"1207",-0.0162711
"1208",214.375
"1209",201.113
"1210",175.981
"1211",157.409
"1212",118.837
"1213",33.7264
"1214",39.5892
"1215",25.1229
"1216",0.212473
"1217",-0.0162711
"1218",-0.0162711
"1219",-0.0162711
"1220",-0.0162711
"1221",-0.0162711
"1222",-0.0162711
"1223",-0.0162711
"1224",-0.0162711
"1225",-0.0162711
"1226",-0.0162711
"1227",-0.0162711
"1228",-0.0162711
"1229",-0.0162711
"1230",-0.0162711
"1231",-0.0162711
"1232",176.009
"1233",214.375
"1234",195.723
"1235",194.598
"1236",156.738
"1237",145.221
"1238",120.708
"1239",173.345
"1240",130.443
"1241",-0.0162711
"1242",-0.0162711
"1243",-0.0162711
"1244",-0.0162711
"1245",-0.0162711
"1246",-0.0162711
"1247",-0.0162711
"1248",-0.0162711
"1249",-0.0162711
"1250",-0.0162711
"1251",-0.0162711
"1252",-0.0162711
"1253",-0.0162711
"1254",-0.0162711
"1255",-0.0162711
"1256",129.631
"1257",211.77
"1258",214.375
"1259",152.827
"1260",207.788
"1261",145.185
"1262",188.215
"1263",171.73
"1264",9.91732
"1265",-0.0162711
"1266",-0.0162711
"1267",-0.0162711
"1268",-0.0162711
"1269",-0.0162711
"1270",-0.0162711
"1271",-0.0162711
"1272",-0.0162711
"1273",-0.0162711
"1274",-0.0162711
"1275",-0.0162711
"1276",-0.0162711
"1277",-0.0162711
"1278",-0.0162711
"1279",-0.0162711
"1280",156.885
"1281",181.597
"1282",179.369
"1283",139.716
"1284",141.47
"1285",61.2712
"1286",79.0034
"1287",10.852
"1288",1.19972
"1289",-0.0162711
"1290",-0.0162711
"1291",-0.0162711
"1292",-0.0162711
"1293",-0.0162711
"1294",-0.0162711
"1295",-0.0162711
"1296",-0.0162711
"1297",-0.0162711
"1298",-0.0162711
"1299",-0.0162711
"1300",-0.0162711
"1301",-0.0162711
"1302",-0.0162711
"1303",-0.0162711
"1304",214.375
"1305",170.046
"1306",165.334
"1307",189.275
"1308",206.994
"1309",200.437
"1310",125.253
"1311",172.084
"1312",0.0495611
"1313",-0.0162711
"1314",-0.0162711
"1315",-0.0162711
"1316",-0.0162711
"1317",-0.0162711
"1318",-0.0162711
"1319",-0.0162711
"1320",-0.0162711
"1321",-0.0162711
"1322",-0.0162711
"1323",-0.0162711
"1324",-0.0162711
"1325",-0.0162711
"1326",-0.0162711
"1327",-0.0162711
"1328",122.127
"1329",183.844
"1330",189.454
"1331",209.051
"1332",203.756
"1333",80.0152
"1334",72.9684
"1335",16.957
"1336",0.205732
"1337",-0.0162711
"1338",-0.0162711
"1339",-0.0162711
"1340",-0.0162711
"1341",-0.0162711
"1342",-0.0162711
"1343",-0.0162711
"1344",-0.0162711
"1345",-0.0162711
"1346",-0.0162711
"1347",-0.0162711
"1348",-0.0162711
"1349",-0.0162711
"1350",-0.0162711
"1351",-0.0162711
"1352",158.962
"1353",188.481
"1354",176.437
"1355",185.48
"1356",62.2769
"1357",149.859
"1358",34.8045
"1359",1.15102
"1360",6.42287
"1361",-0.0162711
"1362",-0.0162711
"1363",-0.0162711
"1364",-0.0162711
"1365",-0.0162711
"1366",-0.0162711
"1367",-0.0162711
"1368",-0.0162711
"1369",-0.0162711
"1370",-0.0162711
"1371",-0.0162711
"1372",-0.0162711
"1373",-0.0162711
"1374",-0.0162711
"1375",-0.0162711
"1376",124.946
"1377",208.136
"1378",193.05
